key	accession	shape	description
NumberOfMSLevels	QCPRIDE:C782CFB84B18715F8D67	scalar	Number of distinct observed MS levels.
NumberOfSpectra	QCPRIDE:8418755F449095444376	scalar	Total spectrum count over all levels.
NumberOfSpectralPeaks	QCPRIDE:EED0065AF36234685A04	scalar	Total valid stored peak data points over all levels; not chromatographic features.
ChromatographyDuration	MS:4000053	scalar	Last minus first finite spectrum RT, over all MS levels.
NumberOfChromatograms	QCPRIDE:3A03550E7F73CC8BC2E7	scalar	Number of stored chromatograms.
NumberOfChromatogramDataPoints	QCPRIDE:166BE0366D9F74CDD72A	scalar	Total stored chromatogram array lengths, not chromatographic peaks.
ChromatogramTypes	QCPRIDE:F6028B02FCB099FDD16A	table	Counts grouped by OpenMS ChromatogramType enum value; engine version is recorded.
ChromatogramRTRange	QCPRIDE:DA479CE356AAFB988099	tuple	Minimum and maximum finite chromatogram time, in seconds.
BasePeak_All_Max	QCPRIDE:0DFA7AA5174921CAC620	scalar	Largest valid intensity across all spectra, including MS3 and higher; arbitrary intensity units.
FAIMS_CV_Values	QCPRIDE:E69917C56F3DCCD6D0EE	tuple	Distinct finite FAIMS compensation voltages, sorted, in volts; not drift times.
FAIMS_CV_Count	QCPRIDE:0FF9AAA5ADA010E8801C	scalar	Number of distinct finite FAIMS compensation voltages.
FAIMS_CV_Range	QCPRIDE:3C721D04BCC72F40C1A0	tuple	Minimum and maximum finite FAIMS compensation voltages, in volts.
NumberOfSpectra_MS1	MS:4000059	scalar	Count of all MS1 spectra, including empty scans.
RtRange_MS1	QCPRIDE:77A5ED9E8CB8C7F8CD4F	tuple	Minimum and maximum finite RT in seconds, MS1.
EmptyScans_MS1	QCPRIDE:6F59F45176612D8C6992	scalar	MS1 scans with no valid positive intensity (zero TIC).
PeakDensity_MS1_Quantiles	MS:4000061	tuple	25th, 50th, 75th percentiles of valid peaks per MS1 spectrum; empty scans included.
BasePeak_MS1_Mean	QCPRIDE:D452DD102903397E2819	scalar	Mean of per-spectrum maximum valid intensity, excluding scans with no valid peaks, MS1.
TIC_MS1_Median	QCPRIDE:C9C317E0A64A03006F7D	scalar	Median sum of valid peak intensities per scan, MS1.
TIC_MS1_CV	QCPRIDE:00C4C4D556C5B163B0FE	scalar	Sample standard deviation (ddof=1) divided by mean TIC, MS1.
TIC_MS1_Area	QCPRIDE:01859CE82042A7057DDF	scalar	Trapezoidal TIC integral against RT, stable time order, intensity times seconds, MS1.
TIC_MS1_Area_RTQuantiles	QCPRIDE:59BA94235C553AF4FDC6	tuple	Four exact integrals of piecewise-linear TIC split at scan-RT quartiles, intensity times seconds, MS1.
TIC_MS1_QuartileLogRatios	QCPRIDE:604EE74E7854759E05FC	tuple	Natural logs of TIC Q2/Q1, Q3/Q2, Q4/Q3 (Q4=max), MS1.
TIC_MS1_ChangeQuartileLogRatios	QCPRIDE:B4CB91D742E1BE7A0B5E	tuple	Natural logs of absolute adjacent TIC change Q2/Q1, Q3/Q2, Q4/Q3, MS1.
ScanRate_MS1	QCPRIDE:BC47FFC025E342B4AD8D	scalar	Count of finite-RT scans divided by that level's RT span, in scans per minute, MS1.
FastestFrequency_MS1	MS:4000065	scalar	Maximum scan count in a closed 60-second window divided by 60, including short runs.
RT_MS1_Quantiles	MS:4000184	tuple	Four consecutive scan-RT quartile widths divided by the MS1 time span.
ObservedMzRange_MS1	QCPRIDE:2A7C646C00FBCB34F4F8	tuple	Min/max valid peak m/z; this is an observed range, not the instrument scan window, MS1.
ScanWindow_MS1	QCPRIDE:05EB1DDF8CCEE51BE48C	tuple	Envelope of recorded scan-window bounds in Th (m/z), MS1.
PeakTypes_MS1	QCPRIDE:658F0AF60FACA5FDD19E	table	Counts of centroid, profile and unknown scan representations, MS1.
EstimatedPeakTypes_MS1	QCPRIDE:499B085DD486DCBECCC0	table	Optional OpenMS PeakTypeEstimator counts for scans with more than ten peaks, MS1; empty if estimation was not requested or eligible.
Polarity_MS1	QCPRIDE:5D7B6DFCAC3E42EAF25F	table	Counts by recorded polarity, including unknown, MS1.
InvalidPeakCount_MS1	QCPRIDE:4ADF3C521FC5FF049772	scalar	Count of excluded peaks with non-finite/nonpositive m/z or non-finite/negative intensity, MS1.
TIC_MS1_SignalJump10x_Count	QCPRIDE:CC18B4EE12E3DE4D10CC	scalar	Adjacent sorted-TIC ratios >=10, with strictly positive previous TIC, MS1.
TIC_MS1_SignalFall10x_Count	QCPRIDE:968FA11A94C7458E4F1C	scalar	Adjacent sorted-TIC ratios <=0.1, with strictly positive previous TIC; zero next TIC counts, MS1.
RT_MS1_IQR	QCPRIDE:1FBA04CFFBA1AF991EC1	scalar	75th minus 25th percentile of finite retention times, in seconds, MS1.
